序号,等级,词语,拼音,词性
126,1,面包,miànbāo,名
127,1,面条儿,miàntiáor,名
128,1,明年,míngnián,名
129,1,明天,míngtiān,名
130,1,名字,míngzi,名
131,1,哪,nǎ,代
132,1,哪个,nǎge,代
133,1,哪里,nǎlǐ,代
134,1,哪儿,nǎr,代
135,1,哪些,nǎxiē,代
136,1,那,nà,代、（连）
137,1,那边,nàbiān,代
138,1,那个,nàge,代
139,1,那里,nàlǐ,代
140,1,那儿,nàr,代
141,1,那些,nàxiē,代
142,1,男,nán,形
143,1,男朋友,nánpéngyou,名
144,1,呢,ne,助
145,1,能,néng,动
146,1,你,nǐ,代
147,1,你好,nǐ hǎo,
148,1,你们,nǐmen,代
149,1,年,nián,名、量
150,1,您,nín,代
151,1,牛奶,niúnǎi,名
152,1,女,nǚ,形
153,1,女儿,nǚ'ér,名
154,1,女朋友,nǚpéngyou,名
155,1,女士,nǚshì,名
156,1,朋友,péngyou,名
157,1,便宜,piányi,形
158,1,漂亮,piàoliang,形
159,1,苹果,píngguǒ,名
160,1,七,qī,数
161,1,起床,qǐchuáng,动
162,1,千,qiān,数
163,1,前,qián,名
164,1,钱,qián,名
165,1,请,qǐng,动
166,1,请问,qǐngwèn,动
167,1,去,qù,动
168,1,去年,qùnián,名
169,1,热,rè,形
170,1,人,rén,名
171,1,认识,rénshi,动
172,1,日,rì,量、（名）
173,1,三,sān,数
174,1,商店,shāngdiàn,名
175,1,上,shàng,名、动
176,1,上班,shàngbān,动
177,1,上课,shàngkè,动
178,1,上午,shàngwǔ,名
179,1,上学,shàngxué,动
180,1,少,shǎo,形、动
181,1,谁,shéi/shuí,代
182,1,什么,shénme,代
183,1,生病,shēngbìng,动
184,1,十,shí,数
185,1,时候,shíhou,名
186,1,时间,shíjiān,名
187,1,事,shì,名
188,1,是,shì,动
189,1,手机,shǒujī,名
190,1,书,shū,名
191,1,书店,shūdiàn,名
192,1,水,shuǐ,名
193,1,水果,shuǐguǒ,名
194,1,睡,shuì,动
195,1,睡觉,shuìjiào,动
196,1,说,shuō,动
197,1,说话,shuōhuà,动
198,1,四,sì,数
199,1,岁,suì,量
200,1,他,tā,代
201,1,它,tā,代
202,1,她,tā,代
203,1,他们,tāmen,代
204,1,它们,tāmen,代
205,1,她们,tāmen,代
206,1,太,tài,副
207,1,天,tiān,名、量
208,1,天气,tiānqì,名
209,1,听,tīng,动
210,1,听见,tīngjiàn,动
211,1,同学,tóngxué,名
212,1,外,wài,名
213,1,外边,wàibiān,名
214,1,玩,wán,动
215,1,晚,wǎn,形
216,1,晚饭,wǎnfàn,名
217,1,晚上,wǎnshang,名
218,1,喂1,wèi,叹
219,1,问,wèn,动
220,1,问题,wèntí,名
221,1,我,wǒ,代
222,1,我们,wǒmen,代
223,1,五,wǔ,数
224,1,午饭,wǔfàn,名
225,1,喜欢,xǐhuan,动
226,1,下,xià,名、动、量
227,1,下雨,xià yǔ,
228,1,下班,xiàbān,动
229,1,下课,xiàkè,动
230,1,下午,xiàwǔ,名
231,1,先生,xiānshēng,名
232,1,现在,xiànzài,名
233,1,想,xiǎng,动
234,1,小,xiǎo,形、前缀
235,1,小朋友,xiǎopéngyou,名
236,1,小时,xiǎoshí,名
237,1,小学,xiǎoxué,名
238,1,小学生,xiǎoxuéshēng,名
239,1,些,xiē,量
240,1,写,xiě,动
241,1,谢谢,xièxie,动
242,1,新,xīn,形
243,1,星期,xīngqī,名
244,1,星期日,xīngqīrì,名
245,1,星期天,xīngqītiān,名
246,1,休息,xiūxì,动
247,1,学,xué,动
248,1,学生,xuéshēng,名
249,1,学习,xuéxí,动
250,1,学校,xuéxiào,名
251,1,雪,xuě,名
252,1,要,yào,动
253,1,也,yě,副
254,1,一,yī,数
255,1,衣服,yīfu,名
256,1,医生,yīshēng,名
257,1,医院,yīyuàn,名
258,1,一半,yíbàn,数
259,1,一下,yíxià,数量、（副）
260,1,椅子,yǐzi,名
261,1,一点儿,yīdiǎnr,数量
262,1,一些,yìxiē,数量
263,1,有,yǒu,动
264,1,有的,yǒude,代
265,1,有点儿,yǒudiǎnr,副
266,1,有些,yǒuxiē,代、（副）
267,1,雨,yǔ,名
268,1,元,yuán,量
269,1,月,yuè,名
270,1,再,zài,副
271,1,在,zài,动、介、副
272,1,再见,zàijiàn,动
273,1,早,zǎo,形
274,1,早饭,zǎofàn,名
275,1,早上,zǎoshang,名
276,1,怎么,zěnme,代
277,1,怎么样,zěnmeyàng,代
278,1,找,zhǎo,动
279,1,这,zhè,代
280,1,这边,zhèbiān,代
281,1,这个,zhège,代
282,1,这里,zhèlǐ,代
283,1,这儿,zhèr,代
284,1,这些,zhèxiē,代
285,1,真,zhēn,副、（形）
286,1,正在,zhèngzài,副
287,1,只,zhǐ,量
288,1,知道,zhīdào,动
289,1,中国,Zhōngguó,名
290,1,中文,Zhōngwén,名
291,1,中午,zhōngwǔ,名
292,1,中学,zhōngxué,名
293,1,中学生,zhōngxuéshēng,名
294,1,住,zhù,动
295,1,桌子,zhuōzi,名
296,1,字,zì,名
297,1,昨天,zuótiān,名
298,1,坐,zuò,动
299,1,做,zuò,动
300,1,做饭,zuòfàn,
301,2,啊,a,助
302,2,爱好,àihào,动、名
303,2,白色,báisè,名
304,2,班,bān,名、（量）
305,2,帮,bāng,动
306,2,帮忙,bāngmáng,动
307,2,包,bāo,动、名、量
308,2,本子,běnzi,名
309,2,比,bǐ,动、介
310,2,笔,bǐ,名、（量）
311,2,别1,bié,副
312,2,不错,búcuò,形
313,2,不好意思,bùhǎoyìsi,
314,2,长,cháng,形
315,2,车站,chēzhàn,名
316,2,出,chū,动
317,2,出国,chūguó,动
318,2,出来,chūlái,动
319,2,出门,chūmén,动
320,2,出去,chūqù,动
321,2,床,chuáng,名
322,2,词,cí,名
323,2,次,cì,量、（形）
324,2,从,cóng,介、（副）
325,2,从小,cóngxiǎo,副
326,2,错,cuò,形
327,2,打1,dǎ,动
328,2,打车,dǎchē,动
329,2,打开,dǎkāi,动
330,2,但,dàn,连、（副）
331,2,但是,dànshì,连
332,2,得,de,助
333,2,地,de,助
334,2,等1,děng,动、（介）
335,2,地铁,dìtiě,名
336,2,点2,diǎn,动、（名、量）
337,2,懂,dǒng,动
338,2,动,dòng,动
339,2,饭馆,fànguǎn,名
340,2,飞,fēi,动
341,2,高,gāo,形、名
342,2,高中,gāozhōng,名
343,2,告诉,gàosu,动
344,2,个子,gèzi,名
345,2,跟,gēn,介、连、（名、动）
346,2,公交车,gōngjiāochē,名
347,2,过,guò,动
348,2,过来,guòlái,动
349,2,过年,guònián,动
350,2,过去1,guòqù,动
351,2,过,guo,助
352,2,还是,háishi,副、连
353,2,黑色,hēisè,名
354,2,红茶,hóngchá,名
355,2,红色,hóngsè,名
356,2,后面,hòumian,名
357,2,花1,huā,动
358,2,花2,huā,名、（形）
359,2,画,huà,动、名
360,2,坏,huài,形
361,2,回来,huílái,动
362,2,回去,huíqù,动
363,2,机场,jīchǎng,名
364,2,机票,jīpiào,名
365,2,记得,jìde,动
366,2,间,jiān,量、（名）
367,2,教,jiāo,动
368,2,教室,jiàoshì,名
369,2,介绍,jièshào,动
370,2,进,jìn,动
371,2,近,jìn,形
372,2,进来,jìnlái,动
373,2,进去,jìnqù,动
374,2,经常,jīngcháng,副
375,2,酒店,jiǔdiàn,名
376,2,就,jiù,副、（介）
377,2,咖啡,kāfēi,名
378,2,开始,kāishǐ,动、名
379,2,开学,kāixué,动
380,2,考,kǎo,动
381,2,考试,kǎoshì,动、名
382,2,可能,kěnéng,形、名、动
383,2,裤子,kùzi,名
384,2,快,kuài,形、副
385,2,快乐,kuàilè,形
386,2,快要,kuàiyào,副
387,2,篮球,lánqiú,名
388,2,累,lèi,形、动
389,2,离,lí,动
390,2,里面,lǐmiàn,名
391,2,楼,lóu,名
392,2,路,lù,名
393,2,路上,lùshang,名
394,2,旅游,lǚyóu,动
395,2,绿茶,lǚchá,名
396,2,绿色,lǜsè,名、（形）
397,2,慢,màn,形
398,2,没意思,méiyìsi,
399,2,每,měi,代、（副）
400,2,门,mén,名
401,2,门口,ménkǒu,名
402,2,门票,ménpiào,名
403,2,面1,miàn,后缀、（动、名、量）
404,2,名,míng,名、量
405,2,拿,ná,动
406,2,那么,nàme,代、连
407,2,那样,nàyang,代
408,2,奶茶,nǎichá,名
409,2,奶奶,nǎinai,名
410,2,男孩儿,nánháir,名
411,2,鸟,niǎo,名
412,2,女孩儿,nǚháir,名
413,2,旁边,pángbiān,名
414,2,跑,pǎo,动
415,2,跑步,pǎobù,动
416,2,票,piào,名
417,2,妻子,qīzi,名
418,2,起来,qǐlái,动
419,2,前面,qiánmiàn,名
420,2,晴,qíng,形
421,2,球,qiú,名
422,2,让,ràng,动、（介）
423,2,肉,ròu,名
424,2,商场,shāngchǎng,名
425,2,上来,shànglái,动
426,2,上面,shàngmiàn,名
427,2,上去,shàngqù,动
428,2,上网,shàngwǎng,动
429,2,身体,shēntǐ,名
430,2,生日,shēngrì,名
431,2,时,shí,名、（量）
432,2,事情,shìqíng,名
433,2,手,shǒu,名
434,2,手表,shǒubiǎo,名
435,2,书包,shūbāo,名
436,2,舒服,shūfu,形
437,2,送,sòng,动
438,2,虽然,suīrán,连
439,2,所以,suǒyǐ,连
440,2,疼,téng,形、（动）
441,2,踢,tī,动
442,2,题,tí,名
443,2,条,tiáo,量、（名）
444,2,跳舞,tiàowǔ,动
445,2,头,tóu,名、（量）、（形）
446,2,外国,wàiguó,名
447,2,外面,wàimiàn,名
448,2,完,wán,动
449,2,万,wàn,数
450,2,往,wǎng,动、介
451,2,网上,wǎngshang,名
452,2,忘,wàng,动
453,2,位,wèi,量
454,2,为什么,wèishénme,
455,2,希望,xīwàng,动
456,2,洗,xǐ,动
457,2,洗手间,xǐshǒujiān,名
458,2,下来,xiàlái,动
459,2,下面,xiàmiàn,名
460,2,下去,xiàqù,动
461,2,小孩儿,xiǎoháir,名
462,2,小时候,xiǎoshíhou,名
463,2,笑,xiào,动
464,2,姓,xìng,名、动
465,2,姓名,xìngmíng,名
466,2,颜色,yánsè,名
467,2,眼睛,yǎnjing,名
468,2,药,yào,名
469,2,药店,yàodiàn,名
470,2,爷爷,yéye,名
471,2,一会儿,yīhuìr,数量、（副）
472,2,已经,yǐjīng,副
473,2,一起,yīqǐ,副
474,2,意思,yìsi,名
475,2,阴,yīn,形
476,2,因为,yīnwèi,介、连
477,2,游,yóu,动
478,2,游泳,yóuyǒng,动
479,2,有意思,yǒuyìsi,
480,2,有时,yǒushí,副
481,2,右,yòu,名
482,2,右边,yòubian,名
483,2,鱼,yú,名
484,2,远,yuǎn,形
485,2,运动,yùndòng,动、名
486,2,站1,zhàn,名
487,2,丈夫,zhàngfu,名
488,2,这么,zhème,代
489,2,这样,zhèyàng,代
490,2,着,zhe,助
491,2,正,zhèng,副、（形）
492,2,周,zhōu,名、（量）
493,2,准备,zhǔnbèi,动
494,2,自己,zìjǐ,代
495,2,走,zǒu,动
496,2,走路,zǒulù,动
497,2,足球,zúqiú,名
498,2,最,zuì,副
499,2,左,zuǒ,名
500,2,左边,zuǒbian,名
501,3,阿姨,āyí,名
502,3,矮,ǎi,形
503,3,爱人,àirén,名
504,3,安静,ānjìng,形
505,3,安全,ānquán,形
506,3,把,bǎ,量、介
507,3,搬,bān,动
508,3,班级,bānjí,名
509,3,搬家,bānjiā,动
510,3,办,bàn,动
511,3,办法,bànfǎ,名
512,3,办公室,bàngōngshì,名
513,3,半天,bàntiān,数量
514,3,帮助,bāngzhù,动
515,3,饱,bǎo,形
516,3,报纸,bàozhǐ,名
517,3,北,běi,名
518,3,北方,běifāng,名
519,3,被,bèi,介
520,3,笔记,bǐjì,名
521,3,比较,bǐjiào,动、介、副
522,3,笔记本,bǐjìběn,名
523,3,比如,bǐrú,动
524,3,比赛,bǐsài,动、名
525,3,必须,bìxū,副
526,3,变,biàn,动
527,3,遍,biàn,量
528,3,变成,biànchéng,动
529,3,变化,biànhuà,动、名
530,3,表演,biǎoyǎn,动
531,3,别的,biéde,代
532,3,别人,biérén,代
533,3,宾馆,bīnguǎn,名
534,3,冰,bīng,名、（动）
535,3,冰激凌,bīngjīlíng,名
536,3,冰箱,bīngxiāng,名
537,3,病人,bìngrén,名
538,3,不但,bùdàn,连
539,3,不见,bújiàn,动
540,3,不用,búyòng,副
541,3,不同,bù tóng,
542,3,不久,bùjiǔ,形
543,3,不行,bùxíng,动、形
544,3,才1,cái,副
545,3,菜单,càidān,名
546,3,参加,cānjiā,动
547,3,草,cǎo,名
548,3,草地,cǎodì,名
549,3,层,céng,量
550,3,查,chá,动
551,3,差,chà,形、动
552,3,差不多,chàbuduō,形、副
553,3,尝,cháng,动
554,3,常,cháng,副
555,3,常见,chángjiàn,
556,3,常用,chángyòng,
557,3,常常,chángcháng,副
558,3,衬衫,chènshān,名
559,3,成绩,chéngjì,名
560,3,城市,chéngshì,名
561,3,迟到,chídào,动
562,3,出发,chūfā,动
563,3,出生,chūshēng,动
564,3,出院,chūyuàn,动
565,3,初中,chūzhōng,名
566,3,除了,chúle,介
567,3,船,chuán,名
568,3,春天,chūntiān,名
569,3,词典,cídiǎn,名
570,3,聪明,cōngming,形
571,3,打扫,dǎsǎo,动
572,3,打算,dǎsuàn,动、名
573,3,大概,dàgài,形、副、（名）
574,3,大人,dàrén,名
575,3,大小,dàxiǎo,名
576,3,大熊猫,dàxióngmāo,名
577,3,大衣,dàyī,名
578,3,带,dài,动、（名）
579,3,担心,dānxīn,动
580,3,蛋糕,dàngāo,名
581,3,当然,dāngrán,副
582,3,到处,dàochù,副
583,3,得,dé,动
584,3,得到,dédào,动
585,3,得分,défēn,动、名
586,3,的话,dehuà,助
587,3,得,děi,动
588,3,灯,dēng,名
589,3,地,dì,名
590,3,地点,dìdiǎn,名
591,3,地方,dìfang,名
592,3,地图,dìtú,名
593,3,电,diàn,名、（动）
594,3,电梯,diàntī,名
595,3,电子书,diànzǐshū,名
596,3,丢,diū,动
597,3,东,dōng,名
598,3,东北,dōngběi,名
599,3,东方,dōngfāng,名
600,3,东南,dōngnán,名
601,3,冬天,dōngtiān,名
602,3,懂得,dǒngde,动
603,3,动物,dòngwù,名
604,3,动物园,dòngwùyuán,名
605,3,短,duǎn,形
606,3,短裤,duǎnkù,名
607,3,段,duàn,量
608,3,锻炼,duànliàn,动
609,3,对话,duìhuà,动
610,3,饿,è,形
611,3,而且,érqiě,连
612,3,耳朵,ěrduo,名
613,3,耳机,ěrjī,名
614,3,发,fā,动
615,3,发烧,fāshāo,动
616,3,发生,fāshēng,动
617,3,发现,fāxiàn,动
618,3,发展,fāzhǎn,动
619,3,方便,fāngbiàn,形
620,3,方便面,fāngbiànmiàn,名
621,3,方法,fāngfǎ,名
622,3,方向,fāngxiàng,名
623,3,房子,fángzi,名
624,3,放,fàng,动
625,3,放假,fàngjià,动
626,3,放心,fàngxīn,动
627,3,放学,fàngxué,动
628,3,分开,fēnkāi,动
629,3,风,fēng,名
630,3,封,fēng,量、（动）
631,3,夫妻,fūqī,名
632,3,服务,fúwù,动
633,3,附近,fùjìn,名
634,3,复习,fùxí,动
635,3,该1,gāi,动
636,3,干净,gānjìng,形
637,3,感兴趣,gǎn xìngqù,
638,3,感到,gǎndào,动
639,3,感冒,gǎnmào,名、动
640,3,干,gàn,动
641,3,刚,gāng,副
642,3,刚才,gāngcái,名
643,3,刚刚,gānggāng,副
644,3,高铁,gāotiě,名
645,3,根据,gēnjù,动、介、（名）
646,3,更,gèng,副
647,3,公斤,gōngjīn,量
648,3,公园,gōngyuán,名
649,3,工作日,gōngzuòrì,名
650,3,故事,gùshi,名
651,3,刮,guā,动
652,3,关,guān,动、（名）
653,3,关机,guānjī,动
654,3,关系,guānxì,名、（动）
655,3,关心,guānxīn,动
656,3,关于,guānyú,介
657,3,关注,guānzhù,动
658,3,国家,guójiā,名
659,3,过节,guòjié,动
660,3,过去2,guòqù,名
661,3,海,hǎi,名
662,3,害怕,hàipà,动
663,3,好多,hǎoduō,数
664,3,好久,hǎojiǔ,形
665,3,好像,hǎoxiàng,动、副
666,3,号码,hàomǎ,名
667,3,河,hé,名
668,3,合适,héshì,形
669,3,黑板,hēibǎn,名
670,3,红绿灯,hóng-lǜdēng,名
671,3,后来,hòulái,名
672,3,后年,hòunián,名
673,3,后天,hòutiān,名
674,3,护照,hùzhào,名
675,3,花园,huāyuán,名
676,3,画家,huàjiā,名
677,3,欢迎,huānyíng,动
678,3,还,huán,动
679,3,环境,huánjìng,名
680,3,换,huàn,动
681,3,黄色,huángsè,名
682,3,回答,huídá,动
683,3,会2,huì,名
684,3,会议,huìyì,名
685,3,或,huò,连、（副）
686,3,或者,huòzhě,连
687,3,鸡,jī,名
688,3,几乎,jīhū,副
689,3,机会,jīhuì,名
690,3,极,jí,副
691,3,急,jí,形、动
692,3,记,jì,动
693,3,季,jì,名
694,3,季节,jìjié,名
695,3,加,jiā,动
696,3,假期,jiàqī,名
697,3,坚持,jiānchí,动
698,3,检查,jiǎnchá,动
699,3,简单,jiǎndān,形
700,3,检票,jiǎnpiào,动
701,3,健康,jiànkāng,形
702,3,见面,jiànmiàn,动
703,3,讲,jiǎng,动
704,3,角,jiǎo,量
705,3,脚,jiǎo,名
706,3,接,jiē,动
707,3,街,jiē,名
708,3,节,jié,量、名、（动）
709,3,结婚,jiéhūn,动
710,3,节目,jiémù,名
711,3,节日,jiérì,名
712,3,结束,jiéshù,动
713,3,解决,jiějué,动
714,3,姐妹,jiěmèi,名
715,3,借,jiè,动
716,3,斤,jīn,量
717,3,经过,jīngguò,动、名
718,3,经理,jīnglǐ,名
719,3,久,jiǔ,形
720,3,酒,jiǔ,名
721,3,旧,jiù,形
722,3,句,jù,量
723,3,句子,jùzi,名
724,3,决定,juédìng,动、名
725,3,卡,kǎ,名
726,3,开花,kāihuā,动
727,3,开会,kāihuì,动
728,3,开机,kāijī,动
729,3,开心,kāixīn,形
730,3,看来,kànlái,动
731,3,可,kě,连、（副）
732,3,渴,kě,形
733,3,可爱,kě'ài,形
734,3,可是,kěshì,连
735,3,刻,kè,量、（动）
736,3,课本,kèběn,名
737,3,客人,kèrén,名
738,3,课文,kèwén,名
739,3,空调,kōngtiáo,名
740,3,哭,kū,动
741,3,筷子,kuàizi,名
742,3,矿泉水,kuàngquánshuǐ,名
743,3,来自,láizì,动
744,3,蓝,lán,形
745,3,老,lǎo,形、前缀、（副）
746,3,老人,lǎorén,名
747,3,离开,líkāi,动
748,3,礼物,lǐwù,名
749,3,历史,lìshǐ,名
750,3,脸,liǎn,名
751,3,练,liàn,动
752,3,练习,liànxí,动、名
753,3,凉快,liángkuai,形
754,3,辆,liàng,量
755,3,聊,liáo,动
756,3,聊天儿,liáotiānr,动
757,3,了解,liǎojiě,动
758,3,邻居,línjū,名
759,3,留学,liúxué,动
760,3,留学生,liúxuéshēng,名
761,3,楼梯,lóutī,名
762,3,路边,lùbiān,名
763,3,路口,lùkǒu,名
764,3,马,mǎ,名
765,3,马路,mǎlù,名
766,3,马上,mǎshàng,副
767,3,满意,mǎnyì,形
768,3,毛,máo,名
769,3,米,mǐ,名
770,3,面前,miànqián,名
771,3,明白,míngbai,形、动
772,3,名单,míngdān,名
773,3,名人,míngrén,名
774,3,南,nán,名
775,3,难,nán,形
776,3,南方,nánfāng,名
777,3,难过,nánguò,形
778,3,难看,nánkàn,形
779,3,男人,nánrén,名
780,3,男生,nánshēng,名
781,3,难题,nántí,名
782,3,难听,nántīng,形
783,3,年级,niánjí,名
784,3,年轻,niánqīng,形
785,3,牛,niú,名
786,3,努力,nǔlì,动
787,3,女人,nǚrén,名
788,3,女生,nǚshēng,名
789,3,爬,pá,动
790,3,怕,pà,动
791,3,拍照,pāizhào,动
792,3,盘子,pánzi,名
793,3,胖,pàng,形
794,3,啤酒,píjiǔ,名
795,3,平时,píngshí,名
796,3,瓶子,píngzi,名
797,3,骑,qí,动
798,3,奇怪,qíguài,形
799,3,其实,qíshí,副
800,3,其他,qítā,代
801,3,起,qǐ,动、（量）
802,3,起飞,qǐfēi,动
803,3,汽车,qìchē,名
804,3,铅笔,qiānbǐ,名
805,3,前年,qiánnián,名
806,3,前天,qiántiān,名
807,3,清楚,qīngchu,形、动
808,3,请假,qǐngjià,动
809,3,请客,qǐngkè,动
810,3,秋天,qiūtiān,名
811,3,球场,qiúchǎng,名
812,3,裙子,qúnzi,名
813,3,然后,ránhòu,连
814,3,热情,rèqíng,形
815,3,认得,rènde,动
816,3,认为,rènwéi,动
817,3,认真,rènzhēn,形
818,3,容易,róngyì,形
819,3,如果,rúguǒ,连
820,3,伞,sǎn,名
821,3,扫,sǎo,动
822,3,沙发,shāfā,名
823,3,山,shān,名
824,3,上衣,shàngyī,名
825,3,勺子,sháozi,名
826,3,身边,shēnbiān,名
827,3,身高,shēngāo,名
828,3,声,shēng,名、量
829,3,生活,shēnghuó,名、动
830,3,生气,shēngqì,动
831,3,声音,shēngyīn,名
832,3,市,shì,名
833,3,试,shì,动
834,3,室,shì,名
835,3,世界,shìjiè,名
836,3,收,shōu,动
837,3,收到,shōudào,动
838,3,受,shòu,动
839,3,瘦,shòu,形
840,3,受到,shòudào,动
841,3,叔叔,shūshu,名
842,3,树,shù,名
843,3,数学,shùxué,名
844,3,刷,shuā,动
845,3,双,shuāng,量
846,3,水平,shuǐpíng,名
847,3,司机,sījī,名
848,3,四季,sìjì,名
849,3,太阳,tàiyáng,名
850,3,糖,táng,名
851,3,特别,tèbié,形、副
852,3,提高,tígāo,动
853,3,体育,tǐyù,名
854,3,体育馆,tǐyùguǎn,名
855,3,甜,tián,形
856,3,跳,tiào,动
857,3,听说,tīngshuō,动
858,3,挺,tǐng,副、（动）
859,3,同事,tóngshì,名
860,3,同意,tóngyì,动
861,3,头发,tóufa,名
862,3,突然,tūrán,形
863,3,图书馆,túshūguǎn,名
864,3,腿,tuǐ,名
865,3,外地,wàidì,名
866,3,外卖,wàimài,动、名
867,3,外语,wàiyǔ,名
868,3,完成,wánchéng,动
869,3,碗,wǎn,名
870,3,晚点,wǎndiǎn,动
871,3,晚会,wǎnhuì,名
872,3,网球,wǎngqiú,名
873,3,网站,wǎngzhàn,名
874,3,忘记,wàngjì,动
875,3,为,wèi,介
876,3,为了,wèile,介
877,3,卫生间,wèishēngjiān,名
878,3,文化,wénhuà,名
879,3,屋子,wūzi,名
880,3,西,xī,名
881,3,西北,xīběi,名
882,3,西方,xīfāng,名
883,3,西瓜,xīguā,名
884,3,西南,xīnán,名
885,3,习惯,xíguàn,动、名
886,3,喜爱,xǐ'ài,动
887,3,洗衣机,xǐyījī,名
888,3,洗澡,xǐzǎo,动
889,3,夏天,xiàtiān,名
890,3,先,xiān,副
891,3,香蕉,xiāngjiāo,名
892,3,相信,xiāngxìn,动
893,3,箱子,xiāngzi,名
894,3,向,xiàng,动、介
895,3,像,xiàng,动、（副）、（名）
896,3,相机,xiàngjī,名
897,3,小区,xiǎoqū,名
898,3,小心,xiǎoxīn,动、形
899,3,校园,xiàoyuán,名
900,3,校长,xiàozhǎng,名
901,3,鞋,xié,名
902,3,心里,xīnlǐ,名
903,3,新年,xīnnián,名
904,3,新闻,xīnwén,名
905,3,新鲜,xīnxiān,形
906,3,信,xìn,动、名
907,3,信用卡,xìnyòngkǎ,名
908,3,行,xíng,动、形
909,3,行李,xíngli,名
910,3,兴趣,xìngqù,名
911,3,休假,xiūjià,动
912,3,需要,xūyào,动、名
913,3,选,xuǎn,动
914,3,选择,xuǎnzé,动
915,3,学期,xuéqī,名
916,3,牙,yá,名
917,3,牙刷,yáshuā,名
918,3,羊,yáng,名
919,3,养,yǎng,动
920,3,要求,yāoqiú,动、名
921,3,页,yè,量
922,3,一定,yídìng,形、副
923,3,一共,yígòng,副
924,3,一块儿,yíkuàir,名、副
925,3,一样,yíyàng,形
926,3,以后,yǐhòu,名
927,3,以前,yǐqián,名
928,3,以上,yǐshàng,名
929,3,以外,yǐwài,名
930,3,以为,yǐwéi,动
931,3,以下,yǐxià,名
932,3,一般,yìbān,形
933,3,一边,yìbiān,副
934,3,一直,yìzhí,副
935,3,音乐,yīnyuè,名
936,3,银行,yínháng,名
